"Date","Time (LST/LDT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2012/02/06","00:00","0.978","-","1.021"
"2012/02/06","00:06","0.962","-","0.998"
"2012/02/06","00:12","0.946","-","0.997"
"2012/02/06","00:18","0.93","-","0.978"
"2012/02/06","00:24","0.914","-","0.965"
"2012/02/06","00:30","0.897","-","0.927"
"2012/02/06","00:36","0.881","-","0.926"
"2012/02/06","00:42","0.866","-","0.908"
"2012/02/06","00:48","0.85","-","0.917"
"2012/02/06","00:54","0.835","-","0.902"
"2012/02/06","01:00","0.82","-","0.891"
"2012/02/06","01:06","0.806","-","0.884"
"2012/02/06","01:12","0.793","-","0.86"
"2012/02/06","01:18","0.779","-","0.841"
"2012/02/06","01:24","0.767","-","0.832"
"2012/02/06","01:30","0.755","-","0.817"
"2012/02/06","01:36","0.744","-","0.808"
"2012/02/06","01:42","0.734","-","0.806"
"2012/02/06","01:48","0.725","-","0.818"
"2012/02/06","01:54","0.717","-","0.782"
"2012/02/06","02:00","0.709","-","0.765"
"2012/02/06","02:06","0.703","-","0.794"
"2012/02/06","02:12","0.697","-","0.764"
"2012/02/06","02:18","0.693","-","0.788"
"2012/02/06","02:24","0.69","-","0.733"
"2012/02/06","02:30","0.688","-","0.758"
"2012/02/06","02:36","0.687","-","0.741"
"2012/02/06","02:42","0.687","-","0.758"
"2012/02/06","02:48","0.689","-","0.77"
"2012/02/06","02:54","0.691","-","0.745"
"2012/02/06","03:00","0.695","-","0.791"
"2012/02/06","03:06","0.7","-","0.767"
"2012/02/06","03:12","0.707","-","0.786"
"2012/02/06","03:18","0.714","-","0.789"
"2012/02/06","03:24","0.723","-","0.798"
"2012/02/06","03:30","0.733","-","0.849"
"2012/02/06","03:36","0.745","-","0.827"
"2012/02/06","03:42","0.757","-","0.852"
"2012/02/06","03:48","0.771","-","0.859"
"2012/02/06","03:54","0.786","-","0.88"
"2012/02/06","04:00","0.802","-","0.901"
"2012/02/06","04:06","0.819","-","0.919"
"2012/02/06","04:12","0.837","-","0.912"
"2012/02/06","04:18","0.856","-","0.913"
"2012/02/06","04:24","0.876","-","0.957"
"2012/02/06","04:30","0.897","-","0.99"
"2012/02/06","04:36","0.919","-","0.979"
"2012/02/06","04:42","0.942","-","1.006"
"2012/02/06","04:48","0.965","-","1.016"
"2012/02/06","04:54","0.99","-","1.079"
"2012/02/06","05:00","1.015","-","1.094"
"2012/02/06","05:06","1.04","-","1.122"
"2012/02/06","05:12","1.067","-","1.15"
"2012/02/06","05:18","1.093","-","1.175"
"2012/02/06","05:24","1.12","-","1.199"
"2012/02/06","05:30","1.148","-","1.211"
"2012/02/06","05:36","1.176","-","1.258"
"2012/02/06","05:42","1.204","-","1.281"
"2012/02/06","05:48","1.232","-","1.329"
"2012/02/06","05:54","1.26","-","1.337"
"2012/02/06","06:00","1.288","-","1.366"
"2012/02/06","06:06","1.316","-","1.384"
"2012/02/06","06:12","1.344","-","1.419"
"2012/02/06","06:18","1.371","-","1.473"
"2012/02/06","06:24","1.398","-","1.447"
"2012/02/06","06:30","1.425","-","1.489"
"2012/02/06","06:36","1.451","-","1.509"
"2012/02/06","06:42","1.477","-","1.553"
"2012/02/06","06:48","1.502","-","1.588"
"2012/02/06","06:54","1.526","-","1.595"
"2012/02/06","07:00","1.55","-","1.631"
"2012/02/06","07:06","1.573","-","1.64"
"2012/02/06","07:12","1.594","-","1.66"
"2012/02/06","07:18","1.615","-","1.68"
"2012/02/06","07:24","1.635","-","1.695"
"2012/02/06","07:30","1.653","-","1.725"
"2012/02/06","07:36","1.67","-","1.754"
"2012/02/06","07:42","1.686","-","1.769"
"2012/02/06","07:48","1.701","-","1.784"
"2012/02/06","07:54","1.714","-","1.783"
"2012/02/06","08:00","1.726","-","1.825"
"2012/02/06","08:06","1.737","-","1.81"
"2012/02/06","08:12","1.746","-","1.823"
"2012/02/06","08:18","1.753","-","1.823"
"2012/02/06","08:24","1.759","-","1.814"
"2012/02/06","08:30","1.763","-","1.838"
"2012/02/06","08:36","1.765","-","1.852"
"2012/02/06","08:42","1.766","-","1.829"
"2012/02/06","08:48","1.765","-","1.841"
"2012/02/06","08:54","1.762","-","1.843"
"2012/02/06","09:00","1.758","-","1.832"
"2012/02/06","09:06","1.751","-","1.808"
"2012/02/06","09:12","1.743","-","1.817"
"2012/02/06","09:18","1.734","-","1.812"
"2012/02/06","09:24","1.722","-","1.795"
"2012/02/06","09:30","1.709","-","1.795"
"2012/02/06","09:36","1.694","-","1.769"
"2012/02/06","09:42","1.677","-","1.734"
"2012/02/06","09:48","1.659","-","1.733"
"2012/02/06","09:54","1.639","-","1.728"
"2012/02/06","10:00","1.617","-","1.714"
"2012/02/06","10:06","1.594","-","1.673"
"2012/02/06","10:12","1.569","-","1.653"
"2012/02/06","10:18","1.543","-","1.609"
"2012/02/06","10:24","1.515","-","1.591"
"2012/02/06","10:30","1.486","-","1.556"
"2012/02/06","10:36","1.455","-","1.535"
"2012/02/06","10:42","1.423","-","1.497"
"2012/02/06","10:48","1.39","-","1.459"
"2012/02/06","10:54","1.355","-","1.431"
"2012/02/06","11:00","1.32","-","1.397"
"2012/02/06","11:06","1.283","-","1.367"
"2012/02/06","11:12","1.245","-","1.359"
"2012/02/06","11:18","1.206","-","1.305"
"2012/02/06","11:24","1.167","-","1.243"
"2012/02/06","11:30","1.126","-","1.182"
"2012/02/06","11:36","1.085","-","1.171"
"2012/02/06","11:42","1.044","-","1.141"
"2012/02/06","11:48","1.001","-","1.087"
"2012/02/06","11:54","0.959","-","1.046"
"2012/02/06","12:00","0.916","-","0.988"
"2012/02/06","12:06","0.872","-","0.941"
"2012/02/06","12:12","0.829","-","0.907"
"2012/02/06","12:18","0.785","-","0.886"
"2012/02/06","12:24","0.741","-","0.815"
"2012/02/06","12:30","0.698","-","0.788"
"2012/02/06","12:36","0.654","-","0.731"
"2012/02/06","12:42","0.611","-","0.686"
"2012/02/06","12:48","0.568","-","0.645"
"2012/02/06","12:54","0.525","-","0.629"
"2012/02/06","13:00","0.483","-","0.575"
"2012/02/06","13:06","0.442","-","0.545"
"2012/02/06","13:12","0.401","-","0.471"
"2012/02/06","13:18","0.361","-","0.449"
"2012/02/06","13:24","0.321","-","0.388"
"2012/02/06","13:30","0.283","-","0.371"
"2012/02/06","13:36","0.246","-","0.332"
"2012/02/06","13:42","0.209","-","0.298"
"2012/02/06","13:48","0.174","-","0.277"
"2012/02/06","13:54","0.14","-","0.226"
"2012/02/06","14:00","0.107","-","0.182"
"2012/02/06","14:06","0.075","-","0.184"
"2012/02/06","14:12","0.045","-","0.141"
"2012/02/06","14:18","0.017","-","0.12"
"2012/02/06","14:24","-0.011","-","0.086"
"2012/02/06","14:30","-0.036","-","0.041"
"2012/02/06","14:36","-0.06","-","0.007"
"2012/02/06","14:42","-0.083","-","0.027"
"2012/02/06","14:48","-0.104","-","0.001"
"2012/02/06","14:54","-0.123","-","-0.033"
"2012/02/06","15:00","-0.14","-","-0.026"
"2012/02/06","15:06","-0.155","-","-0.071"
"2012/02/06","15:12","-0.169","-","-0.083"
"2012/02/06","15:18","-0.181","-","-0.082"
"2012/02/06","15:24","-0.191","-","-0.078"
"2012/02/06","15:30","-0.199","-","-0.106"
"2012/02/06","15:36","-0.205","-","-0.111"
"2012/02/06","15:42","-0.21","-","-0.126"
"2012/02/06","15:48","-0.212","-","-0.119"
"2012/02/06","15:54","-0.213","-","-0.116"
"2012/02/06","16:00","-0.212","-","-0.1"
"2012/02/06","16:06","-0.209","-","-0.102"
"2012/02/06","16:12","-0.204","-","-0.095"
"2012/02/06","16:18","-0.197","-","-0.11"
"2012/02/06","16:24","-0.188","-","-0.108"
"2012/02/06","16:30","-0.178","-","-0.078"
"2012/02/06","16:36","-0.166","-","-0.064"
"2012/02/06","16:42","-0.152","-","-0.06"
"2012/02/06","16:48","-0.137","-","-0.048"
"2012/02/06","16:54","-0.12","-","-0.012"
"2012/02/06","17:00","-0.102","-","0.001"
