"Date","Time (LST/LDT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2012/02/15","00:00","0.92","-","0.839"
"2012/02/15","00:06","0.935","-","0.86"
"2012/02/15","00:12","0.952","-","0.861"
"2012/02/15","00:18","0.97","-","0.897"
"2012/02/15","00:24","0.988","-","0.918"
"2012/02/15","00:30","1.007","-","0.943"
"2012/02/15","00:36","1.027","-","0.962"
"2012/02/15","00:42","1.047","-","0.976"
"2012/02/15","00:48","1.069","-","1.013"
"2012/02/15","00:54","1.09","-","1.031"
"2012/02/15","01:00","1.113","-","1.083"
"2012/02/15","01:06","1.136","-","1.082"
"2012/02/15","01:12","1.159","-","1.131"
"2012/02/15","01:18","1.183","-","1.128"
"2012/02/15","01:24","1.207","-","1.158"
"2012/02/15","01:30","1.231","-","1.157"
"2012/02/15","01:36","1.256","-","1.193"
"2012/02/15","01:42","1.281","-","1.195"
"2012/02/15","01:48","1.306","-","1.24"
"2012/02/15","01:54","1.331","-","1.27"
"2012/02/15","02:00","1.356","-","1.304"
"2012/02/15","02:06","1.381","-","1.301"
"2012/02/15","02:12","1.406","-","1.331"
"2012/02/15","02:18","1.43","-","1.364"
"2012/02/15","02:24","1.455","-","1.401"
"2012/02/15","02:30","1.479","-","1.422"
"2012/02/15","02:36","1.502","-","1.435"
"2012/02/15","02:42","1.526","-","1.478"
"2012/02/15","02:48","1.548","-","1.48"
"2012/02/15","02:54","1.571","-","1.514"
"2012/02/15","03:00","1.593","-","1.527"
"2012/02/15","03:06","1.614","-","1.548"
"2012/02/15","03:12","1.635","-","1.554"
"2012/02/15","03:18","1.655","-","1.572"
"2012/02/15","03:24","1.674","-","1.578"
"2012/02/15","03:30","1.693","-","1.606"
"2012/02/15","03:36","1.71","-","1.622"
"2012/02/15","03:42","1.727","-","1.656"
"2012/02/15","03:48","1.744","-","1.66"
"2012/02/15","03:54","1.759","-","1.708"
"2012/02/15","04:00","1.773","-","1.697"
"2012/02/15","04:06","1.786","-","1.724"
"2012/02/15","04:12","1.799","-","1.733"
"2012/02/15","04:18","1.81","-","1.768"
"2012/02/15","04:24","1.82","-","1.764"
