Conductividad;Temperatura;Presión;Turbidez;Profundidad;Salinidad;Conduct Especifica;Density anomaly;C
2.1313097;11.3292748;10.3866013;584.0556824;0.2520295;1.5079149;2884.4782398;0.7529944;1454.5025394
2.5186134;11.2866105;10.4701674;906.4920412;0.3349141;1.8006541;3412.4118545;0.9861929;1454.6993182
2.7657995;11.2716597;10.5146511;733.7087558;0.3790350;1.9888611;3748.7690799;1.1346475;1454.8731494
2.7590097;11.2703908;10.5099613;690.7178020;0.3743835;1.9837624;3739.6890799;1.1307938;1454.8619802
2.7521179;11.2671769;10.5161160;679.2644419;0.3804881;1.9786895;3730.6580390;1.1272253;1454.8435715
2.7580636;11.2674837;10.5614758;677.0643682;0.4254779;1.9831956;3738.6880512;1.1309158;1454.8509872
2.7638609;11.2659600;10.6226845;677.0463447;0.4861875;1.9876865;3746.6943354;1.1348707;1454.8516317
2.7676082;11.2631361;10.7004160;676.5957561;0.5632852;1.9906870;3752.0485881;1.1378858;1454.8457410
2.8760495;11.2631517;10.7935014;676.9934756;0.6556115;2.0733416;3899.0609970;1.2026927;1454.9483881
3.8570117;11.2710824;10.8707587;676.7219209;0.7322387;2.8300547;5227.8780629;1.7910200;1455.9034289
4.4670788;11.3007390;10.9625230;677.9018621;0.8232547;3.3060463;6050.1312395;2.1581267;1456.5972185
5.3962923;11.3442020;11.0734313;679.8075513;0.9332586;4.0395987;7300.4331816;2.7233959;1457.6546439
9.9200513;11.4220703;11.1964818;684.2605677;1.0553057;7.7458796;13393.5012205;5.5872314;1462.4199172
14.6864884;11.6700991;11.3021833;685.4236869;1.1601453;11.7588067;19702.8578792;8.6586533;1468.1468281
16.8313374;11.8343072;11.4389407;686.8102981;1.2957875;13.5746592;22485.6972553;10.0390645;1470.9154807
17.8860315;12.0183572;11.5634737;686.4149817;1.4193049;14.4312688;23783.0153695;10.6742195;1472.6058711
20.2033143;12.1368869;11.6820394;687.0746434;1.5369038;16.4281975;26783.6734541;12.1983567;1475.4058065
23.3262408;12.2543302;11.7992277;688.1512496;1.6531364;19.1627848;30832.0707535;14.2912323;1479.0685556
25.4781392;12.5008912;11.9232523;689.8526720;1.7761496;20.9711641;33468.0715986;15.6470763;1482.0821459
26.4480634;12.7028512;12.0369573;689.3071594;1.8889274;21.7328852;34567.0081819;16.2011241;1483.6910007
27.1241729;12.9407212;12.1552955;689.0332016;2.0063006;22.2044430;35241.4038293;16.5241917;1485.0757798
27.4141846;13.1371568;12.2668347;689.1521570;2.1169303;22.3498966;35445.4182417;16.6022490;1485.9272208
27.9691359;13.2209729;12.3840123;689.3672379;2.2331523;22.7978624;36088.2491717;16.9330967;1486.7439601
